Month,Year,Return,,,,,
3,1935,-0.0281,,,,,
4,1935,0.0926,,,,,
5,1935,0.0359,,,,,
6,1935,0.0786,,,,,
7,1935,0.0870,,,,,
8,1935,0.0249,,,,,
9,1935,0.0266,,,,,
10,1935,0.0795,,,,,
11,1935,0.0340,,,,,
12,1935,0.0410,,,,,
1,1936,0.0687,,,,,
2,1936,0.0196,,,,,
3,1936,0.0354,,,,,
4,1936,-0.0746,,,,,
5,1936,0.0491,,,,,
6,1936,0.0263,,,,,
7,1936,0.0645,,,,,
8,1936,0.0039,,,,,
9,1936,0.0048,,,,,
10,1936,0.0793,,,,,
11,1936,0.0071,,,,,
12,1936,-0.0024,,,,,
1,1937,0.0344,,,,,
2,1937,0.0183,,,,,
3,1937,-0.0133,,,,,
4,1937,-0.0855,,,,,
5,1937,-0.0134,,,,,
6,1937,-0.0484,,,,,
7,1937,0.0987,,,,,
8,1937,-0.0511,,,,,
9,1937,-0.1440,,,,,
10,1937,-0.0967,,,,,
11,1937,-0.0902,,,,,
12,1937,-0.0384,,,,,
1,1938,0.0349,,,,,
2,1938,0.0749,,,,,
3,1938,-0.2451,,,,,
4,1938,0.1399,,,,,
5,1938,-0.0310,,,,,
6,1938,0.2539,,,,,
7,1938,0.0766,,,,,
8,1938,-0.0230,,,,,
9,1938,0.0202,,,,,
10,1938,0.0863,,,,,
11,1938,-0.0293,,,,,
12,1938,0.0409,,,,,
1,1939,-0.0654,,,,,
2,1939,0.0437,,,,,
3,1939,-0.1324,,,,,
4,1939,0.0055,,,,,
5,1939,0.0663,,,,,
6,1939,-0.0603,,,,,
7,1939,0.1133,,,,,
8,1939,-0.0672,,,,,
9,1939,0.1437,,,,,
10,1939,-0.0035,,,,,
11,1939,-0.0450,,,,,
12,1939,0.0280,,,,,
1,1940,-0.0241,,,,,
2,1940,0.0034,,,,,
3,1940,0.0147,,,,,
4,1940,-0.0007,,,,,
5,1940,-0.2352,,,,,
6,1940,0.0756,,,,,
7,1940,0.0433,,,,,
8,1940,0.0311,,,,,
9,1940,0.0160,,,,,
10,1940,0.0442,,,,,
11,1940,-0.0370,,,,,
12,1940,-0.0054,,,,,
1,1941,-0.0423,,,,,
2,1941,-0.0094,,,,,
3,1941,0.0024,,,,,
4,1941,-0.0653,,,,,
5,1941,0.0019,,,,,
6,1941,0.0384,,,,,
7,1941,0.0609,,,,,
8,1941,-0.0162,,,,,
9,1941,-0.0173,,,,,
10,1941,-0.0744,,,,,
11,1941,-0.0424,,,,,
12,1941,-0.0453,,,,,
1,1942,0.0074,,,,,
2,1942,-0.0315,,,,,
3,1942,-0.0660,,,,,
4,1942,-0.0428,,,,,
5,1942,0.0580,,,,,
6,1942,0.0252,,,,,
7,1942,0.0312,,,,,
8,1942,0.0069,,,,,
9,1942,0.0327,,,,,
10,1942,0.0571,,,,,
11,1942,-0.0145,,,,,
12,1942,0.0507,,,,,
1,1943,0.0767,,,,,
2,1943,0.0553,,,,,
3,1943,0.0388,,,,,
4,1943,-0.0064,,,,,
5,1943,0.0431,,,,,
6,1943,0.0239,,,,,
7,1943,-0.0447,,,,,
8,1943,0.0204,,,,,
9,1943,0.0221,,,,,
10,1943,-0.0090,,,,,
11,1943,-0.0712,,,,,
12,1943,0.0636,,,,,
1,1944,0.0198,,,,,
2,1944,0.0018,,,,,
3,1944,0.0213,,,,,
4,1944,-0.0138,,,,,
5,1944,0.0449,,,,,
6,1944,0.0493,,,,,
7,1944,-0.0222,,,,,
8,1944,0.0128,,,,,
9,1944,0.0010,,,,,
10,1944,0.0042,,,,,
11,1944,0.0081,,,,,
12,1944,0.0334,,,,,
1,1945,0.0184,,,,,
2,1945,0.0656,,,,,
3,1945,-0.0424,,,,,
4,1945,0.0919,,,,,
5,1945,0.0094,,,,,
6,1945,-0.0108,,,,,
7,1945,-0.0164,,,,,
8,1945,0.0617,,,,,
9,1945,0.0455,,,,,
10,1945,0.0337,,,,,
11,1945,0.0357,,,,,
12,1945,0.0075,,,,,
1,1946,0.0730,,,,,
2,1946,-0.0613,,,,,
3,1946,0.0381,,,,,
